LANG,Timestamp,Wallet Account1 Address,Fund your wallet and add the transaction hash here,Transaction hash - transfer,Register Smart Contract Address,RegisterAccess Smart Contract Address,Token Address,TokenShop Address,TransferUSDCBasic Address,Flower Address,Automation URL for you job,CrossChainPriceNFT address,CrossDestinationMinter address,CrossSourceMinter address,MintOnSepolia Transaction ID,CrossSourceMinterMumbai address,MintOnSepolia (from Mumbai) Transaction ID,NFT Runners address,VRF Id Subscription,Function Id Subscription,GettingStartedFunctionsConsumer address,Your WeatherFunctions address,Your transaction in the Bootcamp's WeatherFunctions ,TransferUsdcToSepolia CCIP - Transaction ID,
EN,4/9/2024 12:12:35,0x38803A378781aA035e180dD92E58215B95852bb3,0xea3e5e8f0e5e62eaa52221eaf409639e0c8471c7e5b26c695a9dcfce31aa4c41,0x574fd142e4126402f333da7986be465b34e9f3516299c0ad268c39f52832f404,0x0D0cac72A79DfaDBEBA954987AF60FbB72Fb837F,0x3e31114f945c3A26F003A8649bFd7A1bE4a2E4Ba,0x17e3a9b12DA26704026d414074b4c0666b3327d4,0xaB9954e12ec1d962Ad694A40Df580aeAfF105A50,0x0f361a63da721c150970de8ceca4fdac976f6675dff3092c987a8ef878ea0d22, 0x5425890298aed601595a70AB815c96711a31Bc65,0xE4c9Fa502EF79373A181Dbbf74A9417c9924B5cA,https://testnets.opensea.io/collection/flower-bootcamp-2024-48,0xf424417B4fe8bEb687Fbda1e96c345F65Dc800B1,,,,,,,,,,,,
EN,4/21/2024 16:30:08,0x2E5160bd5eE8280C2482D359AAeD26F892669b44,0x88a6507b3c4d88f9c6a9da7434c1dd5063209e015c9a0c6fc6b4dd5684eac2a1,0xe2f808877c0e82a3415bcce0d5e023319cb43333936438d2705e20f0e32cc575,0x5BeAA0440b862eb2EE55D5f4A0d666F13696C1c6,0xA6e97179dD1a9bEE70B062874655640F5c7E251d,0x12B7f283e9aA0F0449CedD5313a167Dc5F244Db7,0xdCeC4fFeFEDA7542EF4425F2792127eeCE5B1eBA,0x3A9FDF114d9f66F3BB43d52F607bbfa84cF3A06a, 0x8d4f7b770b0d5e6e2135c65abe1a3a9baca7f9b253dcccaae2d6b58285e6ed2d,0x48258002120A2965FDbc38fa5966Ae007416C279,	https://automation.chain.link/sepolia/68548320980455189367684972757080055728097213156750421875495463402305302362469,0x915a19769eBDa6448Ec1C9E1E47884A5259bd98e,0xC1B5dcAd24Bc0B8F27A0A2cb42CD986B5AF8DD41,0x4e6a0ab0840007f89df4e560354312490ffbf438abad6bffbb385f080947db2d,0x4e6a0ab0840007f89df4e560354312490ffbf438abad6bffbb385f080947db2d,0x9A28F255bd88C4012081D94D95aED0BB9235128d,0x4641a4e874da6b2bf458fa914b43f119a10e82b869f953b32edb1f7cbca34544,0xdCeC4fFeFEDA7542EF4425F2792127eeCE5B1eBA,1945,6391,0xafA9d249426eBaeF6E3fdb1F5111883E25b13C6e,0x784a35BC605Ac752566712Da0f0F5D7bE799d291,0x16df2afbbdcefadb96e7e447055df56296640b159d25c057b604b3561eb17be0,
EN,4/27/2024 13:01:06,0x975f320b044417937E59f49E3F32E8E08ccC6213,0x418f54445d5129ba5eea97ceb81a58cd4589cd9e6bf064673bad9c1272c3bb5a,0x768ac9bedfc13e5e14dfc920a1ad3efd3a72a46231ebba324a7deb121ef101b4,0xbe90432cd32a55f96215373C028e8793CACF8432,0x8d8157d9eda4c4891d2246AF6fC05cf47d0B0395,0xa71EfF9925660C0Fcf47Bbd38Df10AEda44cAe51,0xae427d5D61102127AD261Ac741D0C48FEB475777,0x8d8157d9eda4c4891d2246AF6fC05cf47d0B0395, 0xa8bd09bd9fbd212a953b4ce02addbcdc938b1918132e59c598f8e39db1b66b49,0x98Ab6997158e366AdA360e97Dcef6769654306b8,https://automation.chain.link/sepolia/84557849674080025399113540802291956741834480949430276043456110462648126997055,0x1c411028024B1951c0f6ab4579A71a4fcAb80744,0xA696662Df64c270e0f95ea27e79a4A8F0bFCcD0c,0xB8050890554358Cd45456CdB56A1539b2faF91B8,0x0551f76414f11f7a8e7a4a88c8706c38132443ef7cb1a2f70b05877ebac1ea1a,,,0xa71EfF9925660C0Fcf47Bbd38Df10AEda44cAe51,2191,6878,0x98Ab6997158e366AdA360e97Dcef6769654306b8,0x7e2CcA0CF3D82aE6FE86d6b07c6d5F366fd82f83,0xd6a81bd8026cfc40905122912a8b02830fa56226dd0f96439654fece2220e3b2,
EN,4/12/2024 6:07:02,0x93bD8d19f8e02B6dCc84Ee435c5aBDa31dadA722,0xe93bb50d8a1db01e08034447be6caf0893fcd9ddba534e8751c7bb9c9b849ec6,Acc1 to Acc2 ....> 0.05  0x7d328cc8cc895a3480572bdb849b5f26012714c41386e06b494bca034748539cTH,0x0577fa58ab8eA94B7002888B694F72be7CeE6e89,0xcACBb73add39CA60140bfDB24CFDF5020920AE9c,0xAFb67Eb4Db585c625b0B9bd3bE960aB6201694f1,0x973522566f62AF5Af774B3E04d0b8521c8560B1c,0x4f7786202a32994CdFB829211c24fd0BED2e585c, 0xf8665b779fda28a3d6ca953892fd0e5da77ecd76eb73430335e48577ce394fc5 ,0x4466E3341C93CafB930dCA88c990F7A136A649d7, https://automation.chain.link/sepolia/49338156728248683598353721126707719954541323456286762644053842395256700757955,0x26a6444072c573A5333442B66A47a96F2ADA2631,0xF4F49CC3E689a4053000B2c1Be3F64f398A8490d,0x21CF68ddbFaD232eda548FE8c26Bbe2BEAf13eF7,https://ccip.chain.link/address/0x21cf68ddbfad232eda548fe8c26bbe2beaf13ef7,,,0x06Ab3D8c0b0BA01c31a165f15A37AB2e8Fa73C9c,VRF id-1951  ; https://testnets.opensea.io/collection/runners-753,  Subscription ID 5961 ,0xcacbb73add39ca60140bfdb24cfdf5020920ae9c,0x4466E3341C93CafB930dCA88c990F7A136A649d7,could not have the city temperature,
EN,4/29/2024 8:05:21,0x59460FB115FFB4d341DbA9dbf30eadC6AE91f4B0,0xe708106c980eed097ceed89ac0988c807a0e5f8b14bf3daac37daa0133f47162,0xb1a5660c7d1c5c022510912c3604345d43741bc45bfbab270dd4d0655bd9d2f8,0x6f216b81d0d531d9a596c398aa9f2dba4d4a84b1,0x8Bb39a5D4706e533cfb026eA18D43209F79086E2,0x3b6540432C46D39DF8aD74CA167Cba5a9DeCb2DB,0xcD619d28eE4b263BF3C48588ffB5DD226a100396,0x579308Aa35a7CA648e0b51Df02210dD9F794918a,0x00c42fa401118a2792744ae03f1b11acc6cbbe7aeb13f7087814479246ae2fa9,0x493c5f828c4621225bD88778b35Af78553147633,https://automation.chain.link/sepolia/36102322399951399710606956303693264604048081790485404599292245427448842450198,0x5Cb03Df686652FBd42266c82fae2cf682Bb36E39,0x9De095C6a5D873F06c250C630e6f41D21A46695c,0xf6eE6d5658798720cd942afE12187F8ff6ff92f7,0x069a49878294be248cab6d9c9896ab9f0268e600915dfcc452c1ab214a51bd1f,0x069a49878294be248cab6d9c9896ab9f0268e600915dfcc452c1ab214a51bd1f,0x069a49878294be248cab6d9c9896ab9f0268e600915dfcc452c1ab214a51bd1f,0xdd82EEcE38Ef7c6f91553ee7c3bBe2469979D5b7,2770,6948,0x493c5f828c4621225bD88778b35Af78553147633,0xC18c82218B94EcD8bc15eB7C6858E55469bEaE53,0x1f78f14b38d52fc8f667e33eb2b5b5832536b1395cc59be8a4b0684806726c65,
EN,4/13/2024 13:36:53,0xa5e1DEE9F9960AD724834de1Fa9B85b2a295c219,0xf5e8f2858ea3f258e42ff258b2e94320e09a50bf3a388258f33b173b9bc7c0f8,0x5829e7c9dae032339ff61234290c36ca1c838f86ffacc46ed4402e954fd572dc,0x702Ce872d5207af8EC92aC65E2ca147ce75F8489,0x5a327fa9e5b5a25de62ba5f563367e3bdf17aeaba69ebc7af4e399982b3a8250,0x4c6468ed3ea73be1a958e326315dc5708e4858d4,0x808fdbdf6f9dc5f1287d3096630ace6ab951eb65,0x99a0dde63ca3159c1c1d59d321ad165b805c2efb,0x011d5f397462b910b17de3930a8796f6398c262c03bb578bd8da8d69c7634a87,0xf1787BD21C95EF8780e5eb43529632d0F1e04Cbd,https://automation.chain.link/sepolia/86834606305262390068065332975583684483534899529000265084480899424235996453616,0xbc143aE0C0D952b194E9EFEd03217CF386B79E19,0xe1e715530ff96214EC0c4C86DEac730D5c241549,0x9840E7a358DD0F1ca861b92Afdb2f6b99aAfF17e,0xcad97e1d9227cf89ea3619c527bcda18ba7a5a2b54a4e5ecce300ec094e5e071,0x99a0dde63ca3159c1C1d59d321AD165b805C2eFB,0x9d7bdcbb8c70b7dd598d7d27d1789838cc7b289eac14f144a282d0d39c473619,0xAba43E68568666A4AE5835ac4f46B269dC66761F,1917,5908,0x7d1314555E84d862E80053F80044d0F15e68b990,0xCd504E5F1ECF153CF8cC7a4b48F4DA6be56CFfd7,0x5e7ab0720aaeffdf3122574d0cae72ebbd5342d90276328a1e2749b885321341,
EN,4/12/2024 9:08:51,0x5ac7c4532948366d7b2bd36942B8c3C37039E64A,0x92d682351F0E2Bdf19f63e77e97fa8f534D8D673,0x7597611E32816C8936dC5CD59a220161e4602188,0x2C73937Dc71DA0C9115d32F7705f758b130C04b5,0x94114ebA47A0077321Ee341A7a04c08bE560BE48,0x01bA2E761F72189ED7A7829Ac8C05F6148159Deb,0x382Ec38802936A6aB4D8d56c694598496f8FB7AD,0x6e17f1C212F6CFB426E361D91BeAcC95e17C159d159Deb,0x01bebfbe8f5d89b3239eaaebc8125fdfe77e0edbf79c1a5780b2ec54acd7e18a,0xD69F574AFdc830C6b1F06AeBF12A9861D78d4D21129B97,https://automation.chain.link/sepolia/0xdd918dbf97fbd2dd39272ef46b6cfd06c481606bfb2fe007dd095792c7d2c775?poll=true,0x47f990A349ECea41f361E99773C7d2A138F23C2C,0x394e32594c0CE5462D7189F7553A5FD5E8177B48,0x6A6a9cbe0C7228BFc0dbabe2b641B6a8e2cC6860,0x5827b8d33623e64123637ffdeeedd788022b6cda05cb1121ee8bd593faed894c,0x2C73937Dc71DA0C9115d32F7705f758b130C04b5,0xa3315ef38c9dc75e4aef12d585767c9caf53e64d0f07b56f3b7d57353b0f37e2,0xA0c9A53c39ac6b2098De55B3D8a545149c62037F,2178,6161,0x43065b6d9EFB889C154b793c4a4Ab68ceDff4D4E,0x5A1BBB6C16707621313c88803762a26af9Ed9DcC,Abuja: ⛅️ +31°C,
EN,4/20/2024 13:49:56,0x625A04b216D22Da27165F3622CDfC13CDebF9344,0xca9e86bfd08f9420cc61e958f9381ae40d69b2f8edebd38525d330a10bbfd54c,0x8986419b1791999bedeee06a50c12dacf83169b3809804c8cfbb2834dc01a47d,0x7D2785D498b40b06cE03c2139D57Cde80E4D0275,0xeedc620777c3b686a8c8f36f24a53a1b2d605cc8,0x85a2f7911687fa8296378ab6d413492f617333a0,0x564d55Fb1Af71aAfdDd4A9f5B7af58C4c34CE18B,0xD569BBB851F0d1Ee3B5eeE5d8928Ec5c8d576220,0x01e295eb867f5d3220944d5645bec6e5392717c78e5a316dde704c13796c6f4e,0x46207d2D9b6DF8eEA53b211953c99Bb6Ad5e6e55,https://automation.chain.link/sepolia/38965296354103807895609746205040282978011811507594818053127103445272672352238,0xF1f45a12283FcdA5FE7a262DD83fA493b832E8dB,0xa50DE3761205d1fEda1d7042B78093688728Ec22,0x180189Bbe4A3A95A2E0CFaB4E99e450A83bb507B,0x630a3d565e53e896bd58c22390c1c1e4c65ca3ed0bb8ded7ab9cf5f84dfc3bef,,,0xF1f45a12283FcdA5FE7a262DD83fA493b832E8dB,2464,6485,0x7cADD8347ad8bDf6c21a43BEA9225C7a50fE255a,0xC729Eea6b8ceBEb45C3c8158dfdBdD5205461Bec,0x1c16a96ad55acad856dc2a3c5bbc596d8ef31e098c05c2516631819ef9eea70b,
EN,4/19/2024 13:06:48,0x12c030eb7A133477f9243582F816D02A7738e189,0x8a4d72eb71f0cb33953b67a0fac0607a8c0b3551b8997100ff655b42cf836038,0xc8f91c12d3f80a232b01f94a3ea2396c6d4bd2d8b871f4bb69830962c51f2965,0x4052502F1eCDa7C148d6f25a9E594522b696687A,0x8487C50Ffe0B1CB18D0B879F3Fd8a0763757d696,0x8e70EEC8F6E0AB46637e7F4Da424d0E55754a7a1,0x71aD26E95A2C0e79DA29462bcec8D7037a2b5099,0x91E03Fd6A666dDBe615ff4B264ab662505992FD5,0x022e3eb5a045c0fe510d4611d50a760386801fb6918db0d103826d9ee6bf5551,0x35AC94339dcDEA63753171f86F1db99451f6C262,https://automation.chain.link/sepolia/72523008366667927877546224463132538228837081007578748570755087014454716434979,0xB95EEa1eCF5182CDC13c779968B5D97FEdF79459,0x701E38123aA233076aDb7AA1C6B3fbdE841aEc04,0x2cd239fb3429B3DCc8058E32bd1e619C3B873c07,0x4985c219c7e33953f4bb5214f03ae3dad00a5fb287c407c80a54ba60f83ac5f3,,,0x3947fC70cFBe86A5cbB674743e15fe4ccDc20cdC,2432,6427,0xa5CE734697924734E96fEa244B66B8CA20C4F2bB,0x202CA8854f155Ee3A41E3D7f1e5656B0C7612B7B,0x20f599209a0e2ff3132a988226ec0d4f1d8ae9ee7443db60fd44c3bbe833961e,
